Title,PDF,URL,Author,Year,Grade,Standards,Subjects,Values,Sponsors,Keywords,Notes
Current Events of Woody Island - Brush Fire in May 2011 part 2,http://www.kmxt.org/index.php?option=com_content&task=view&id=2755&Itemid=2,Current Events of Woody Island - Brush Fire in May 2011,,2011,3 - 12+,,Social Studies,Land - nunapet,KMXT,"history, Woody Island, fire, natural disaster",
Introduction to Tsunami,K-4_4IntrotoTsunami.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,"(3)SA1.2, (3)SE1.1, (3)SG2.1, (3)SG4.1","Language Arts, Science & TEK, Social Studies","Land - nunapet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet","Geophysical Institute, UAF","tsunami, tidal wave, 1964, ocean, earthquake","Overview: As an introduction to tsunamis, students watch the video, Ocean Fury: Tsunamis in Alaska and discuss the effects of the 1964 tsunami on their locale. DVD Ocean Fury: Tsunamis in Alaska may be obtained from your school's library or from Destiny On this page enter the search words ocean fury."
Oral Traditions: The Red Cedar of Afognak: A Driftwood Journey,K-4_2OralTraditions.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,"(3)SF1.1, (3)SF1.2, (3)SF1.3, Reading(3)1.4.1, Reading(3)1.8.1","Language Arts, Science & TEK, Social Studies","Land - nunapet, People - suupet, Elders - cuqllipet, Family - ilaapet , Crafts - piciipet uswituu'uq, Trust - sugtanartukut, Respect - ling'aklluki","Geophysical Institute, UAF","tsunami, tidal wave, 1964, ocean, earthquake","Overview: Students listen to an account of the tsunami that struck the Alaskan coastline in 1964 in the book The Red Cedar of Afognak: A Driftwood Journey based on a story by John P. Pestrikoff, an Alutiiq Elder, then they illustrate a scene on a storyboard and sequence the events to retell the story."
"1964: Learning, Family, and Sharing",K-4_14_1964LearningFamilySharing.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,"Science(3)SA1.1, Math(3)S1, Writing(3)1.2.1","Language Arts, Science & TEK, Social Studies","Land - nunapet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki","Geophysical Institute, UAF","tsunami, tidal wave, 1964, ocean, earthquake","Overview: Students reflect how Elders live their lives in accordance with cultural values in the wake of this life-changing event. and how cultural values are displayed in their everyday actions. DVD Memories from Afognak featuring local Elder, Betty Nelson, may be obtained from your school's library, from Destiny or from the ATEP website."
What's on your Plate?,atep_k4_WhatsOnYourPlate.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,"Science(3)SA1.1, Math(3)S1, Writing(3)1.2.1","Science & TEK, Social Studies",Land - nunapet,"Geophysical Institute, UAF","tsunami, tidal wave, 1964, ocean, earthquake",Overview: Students learn about the composition of Earth through multimedia and by creating a model. Student worksheet for lesson is included in file. Multimedia for lesson Earth's Layers (http://www.aktsunami.com/multimedia/earths_layers.html) and Plate Puzzle http://www.aktsunami.com/multimedia/earth_plate_puzzle.html
Bottle O'Waves,atep_k4_BottleOWaves.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,"Science(3)SA1.1, Science(3)SA1.2","Science & TEK, Social Studies",Land - nunapet,"Geophysical Institute, UAF","tsunami, tidal wave, 1964, ocean, earthquake",Overview: This lesson addresses the common misconception that younger children often hold about waves: water waves transport matter. Students also make their own model of a wave.
Ghost Forest Lesson,atep_k4_GhostForest.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,"Science(3)SA1.2, Science(3)SA3.1, Writing(3)1.2.1","Science & TEK, Social Studies",Land - nunapet,"Geophysical Institute, UAF","tsunami, tidal wave, 1964, ocean, earthquake","Overview: Students investigate the effects of saltwater on plants that grow in a freshwater habitat, then apply this to the presence of ghost forests. The lesson and student worksheets. (See Ghost Forest: Visual Aide)"
Ghost Forest: Visual Aid,atep_k4_GhostForest_VA.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,"Science(3)SA1.2, Science(3)SA3.1, Writing(3)1.2.1","Science & TEK, Social Studies",Land - nunapet,"Geophysical Institute, UAF","tsunami, tidal wave, 1964, ocean, earthquake","Overview: Students investigate the effects of saltwater on plants that grow in a freshwater habitat, then apply this to the presence of ghost forests. An additional visual aid needed for this lesson. (See Ghost Forest Lesson)"
Stories in the Soil,atep_k4_StoriesInTheSoil.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,"Science(3)SA1.1, Science(3)SB1.1, Reading(3)1.4.1","Science & TEK, Social Studies",Land - nunapet,"Geophysical Institute, UAF","tsunami, tidal wave, 1964, ocean, earthquake","Overview: Students explore soil layers though observation, then enact a story that describes how layers are deposited over time. Students also sequence events represented in stratified layers."
Kodiak Alutiiq Spring Plants,Spring Plants color.pdf,,Native Educators of the Alutiiq Region (NEAR),2002,PreK - 12+,,"Science & TEK, Social Studies, Alutiiq Language, Art, Health, Physical Education","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Native Educators of the Alutiiq Region,"plants, medicinal, healing, food",Medicinal Plant Unit (pp. 40-45)
Storms of Cape Alitak,http://www.youtube.com/watch?v=dplFo0K365o,http://www.youtube.com/watch?v=dplFo0K365o,Frontier Scientists,2011,5 - 12+,Stories of survival,"Science & TEK, Art","Land - nunapet, Learning - liicirpet, Crafts - piciipet uswituu'uq",Alutiiq Heritage Foundation (Alutiiq Museum),"storms, Alitak, survival",
Appearing and Disappearing Petroglyphs of Cape Alitak,http://www.youtube.com/watch?v=8VpVSGXbrrw,http://www.youtube.com/watch?v=8VpVSGXbrrw,Frontier Scientists,2011,PreK - 12+,,"Science & TEK, Art","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Alutiiq Heritage Foundation (Alutiiq Museum),"petroglyph, art, design, symbol, pattern, animal",
Warning Signs: Nature and Technology,atep_k4_WarningSignsNatureAndTechnology.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,"Science(3)SA2.1, Science(3)SE2.1, Writing(2)1.1.2","Language Arts, Science & TEK, Social Studies",,"Geophysical Institute, UAF","tsunami, tidal wave, 1964, ocean, earthquake","Overview: Students classify tsunami warning signs as either natural warnings or official warnings communicated through technology by playing an active and fun game. The lesson, student worksheets and teacher information sheets are attached in the file below. (Please note that although CB's and other ""old"" technology may not be apparent in many homes today, some of our remote sites throughout Alaska and Kodiak still use this kind of technology.) A useful multimedia file Warning Signs is also available for your use (http://www.aktsunami.com/multimedia/tsunami_warning_signs.html)."
Traveling Boxes,http://alutiiqmuseum.org/education/resources/202-traveling-boxes.html,www.alutiiqmuseum.org,4,2013,PreK - 12+,,"Language Arts, Science & TEK, Social Studies, Alutiiq Language, Art, Physical Education","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Alutiiq Heritage Foundation (Alutiiq Museum),"games, art, crafts, language, dance, stories",
"Alaska Science: Camps, Fairs & Experiments",Camp.pdf,http://www.ankn.uaf.edu/publications/Alaska_Science/CampsEnviron.html,"Dick, Alan",2004,5-Feb,KIBSD Science A2,Social Studies,"Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Learning - liicirpet, Crafts - piciipet uswituu'uq","Alaska Native Knowledge Network, UAF","science, TEK, technology, survival, village",
Village Math,http://ankn.uaf.edu/publications/VillageMath/,http://ankn.uaf.edu/publications/VillageMath/,"Dick, Alan",0,-,,Math,"Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki","Alaska Native Knowledge Network, UAF",measurements,
Alaska in Maps,Alaska in Maps2.pdf,,"Pearson, Roger W. and Marjorie Hermans (Eds.)",1998,PreK - 12+,,Social Studies,"Land - nunapet, People - suupet",Kodiak Island Borough School District,"maps, population, geography",
Standards for Teaching Alaska History,Dennis Demmbert Historical.doc,,"Demmert, Dennis",2013,3 - 12+,,Social Studies,"Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Kodiak Island Borough School District,"history, social studies, government, AFN, ANCSA, civil rights, colonization","Historical factors important in the teaching of Alaska's History by Dennis Demmert - a list of important events, concepts, laws and people to consider while teaching Alaska history, geography, cultures, and our state's economic."
Jewelry Alutiiq Style,http://www.youtube.com/watch?v=7nm_pnwfL04,http://www.youtube.com/watch?v=7nm_pnwfL04,Frontier Scientists,2011,3 - 12+,,"Science & TEK, Art","People - suupet, Learning - liicirpet",Alutiiq Heritage Foundation (Alutiiq Museum),"art, jewelry, earrings, labrets, clothes, ornament, petroglyph",
Axe Handle Academy,http://www.ankn.uaf.edu/curriculum/AxeHandleAcademy/axe/index.htm,http://www.ankn.uaf.edu/curriculum/AxeHandleAcademy/axe/index.htm,Scollon and Suzie Wong Scollon,1986,3 - 12+,,"Science & TEK, Social Studies, Art, Health, Physical Education","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",,"place, ecology, environment",Quiz How well do you know your place? How well do you know your culture? How well do you communicate?
Afognak Village Timeline,http://www.afognak.org/heritage/history/history-intro.php?src=timeline,http://www.afognak.org/heritage/history/history-intro.php?src=timeline,,0,5 - 12+,,,"Land - nunapet, People - suupet, Elders - cuqllipet, Family - ilaapet",Native Village of Afognak,"history, Afognak, events",
Iluani Lesson I: Unit Introduction,Illuani Unit I.pdf,,,0,9 - 12+,,"Language Arts, Social Studies","People - suupet, Elders - cuqllipet, Respect - ling'aklluki",Kodiak Island Borough School District,,Lesson A: Introduction to and exploration of Iluani Magazine Lesson B: Value of oral history Lesson C: Article Review Lesson D: Rubric Scoring Lesson E: Oral Autobiography Unit 1 Assessment
Iluani Lesson II: Discovering a Sense of Place,Illuani Unit II.pdf,,,0,9 - 12+,,"Language Arts, Social Studies","People - suupet, Elders - cuqllipet, Respect - ling'aklluki",Kodiak Island Borough School District,,Lesson A: Poetry and Sense of Place Lesson B: Topics and Contacts Lesson C: Choosing and Narrowing a Topic Lesson D: Project Proposal This curriculum has been used in production of annual Iluani Magazine development.
Iluani Lesson II: Interview Skills,Illuani Unit III.pdf,,,0,9 - 12+,,"Language Arts, Social Studies","People - suupet, Elders - cuqllipet, Respect - ling'aklluki",Kodiak Island Borough School District,,Lesson A: Open-ended Questions Lesson B: Preinterview Lesson C: Interview Guide Lesson D: Biographical Information Lesson E: Field Notes Lesson F: Planning Images Lesson G: Initial Visit Lesson H: The Practice Interview Lesson I: The Interview This curriculum has been used in production of annual Iluani Magazine development.
Iluani Lesson II: Transcribing,Illuani Unit IV.pdf,,,0,9 - 12+,,"Language Arts, Social Studies","People - suupet, Elders - cuqllipet, Respect - ling'aklluki",Kodiak Island Borough School District,,Lesson A: Story Map Lesson B: Transcribing This curriculum has been used in production of annual Iluani Magazine development.
Iluani Lesson II: Story Writing,Illuani Unit V.pdf,,,0,9 - 12+,,"Language Arts, Social Studies","People - suupet, Elders - cuqllipet, Respect - ling'aklluki",Kodiak Island Borough School District,,Lesson A: Coding the Transcript Lesson B: Paragraphs Lesson C: Writing Transitions Lesson D: Writing Introductions Lesson E: Writing Conclusions Lesson F: Revisions Lesson G: Editing 1 Lesson H: Editing 2 This curriculum has been used in production of annual Iluani Magazine development.
Do Alaska Native Peoples Get Free Medical Care and Other FAQ,Do Alaska Natives Get Free Medical Care.pdf,,"Roderick, L. (Ed)",2008,5 - 12+,,Social Studies,"Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki","UAA, APU","issues, culture",Suggested Reading for students of Alaska History and Geography
Alaska Studies Unit 1: Alaska the Great Land Part 1,AK History Sem I Study Guide Unit I Part I.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,"maps, population, geography",Semester 1 Alaska Studies Curriculum
Alaska Studies Unit 1: Alaska the Great Land Part 2,AK History Sem I Study Guide Unit I Part II.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,"maps, population, geography",Semester 1 Alaska Studies Curriculum
Alaska Studies Unit 2: Alaska Naturally Part 1,AK History Sem I Study Guide Unit II Part I.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,,Semester 1 Alaska Studies Curriculum
Alaska Studies Unit 2: Alaska Naturally Part 2,AK History Sem I Study Guide Unit II Part II.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,,Semester 1 Alaska Studies Curriculum
Alaska Studies Unit 2: Alaska Naturally Teacher's Guide,AK History Sem I Teacher's Guide.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,,Semester 1 Alaska Studies Curriculum
Alaska Studies Unit 3: History,Sem II Unit 3 281-314.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,"ANCSA, ANILCA, WWII, war, territory, history",Semester 2 Alaska Studies Curriculum
Alaska Studies Unit 4: Alaska Now Part 1,Sem II Unit 4 315-407.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,,Semester 2 Alaska Studies Curriculum
Alaska Studies Unit 4: Alaska Now Part 2,Sem II Unit 4 409-516.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,,Semester 2 Alaska Studies Curriculum
Alaska Studies: Teacher's Guide Part 1,Sem II Teacher's Guide Part 3.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,,Semester 1 & 2 Alaska Studies Curriculum
Alaska Studies: Teacher's Guide Part 2,Sem II Teacher's Guide Part 2.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,,Semester 1 & 2 Alaska Studies Curriculum
Alaska Studies: Teacher's Guide Part 3,Sem II Teacher's Guide Part 1.pdf,,,1988,9 - 12+,,Social Studies,,Kodiak Island Borough School District,,Semester 1 & 2 Alaska Studies Curriculum
"Last Letters from Attu: The True Story of Etta Jones, Alaska Pioneer and Japanese POW",http://www.amazon.com/Last-Letters-Attu-Pioneer-Japanese/dp/0882408100,http://www.lastlettersfromattu.com,"Beau, Mary",2009,9 - 12+,,Social Studies,,Alaska Northwest Books,"WWII, Aleutian, teacher, life story",Suggested Reading for students of Alaska History and Geography
Forty Miles from Tomorrow,http://www.amazon.com/Fifty-Miles-Tomorrow-Memoir-Alaska/dp/0312429363,http://www.amazon.com/Fifty-Miles-Tomorrow-Memoir-Alaska/dp/0312429363,"Hensley, William L. Iggiagruk",2010,9 - 12+,,Social Studies,,,life story,Suggested Reading for students of Alaska History and Geography
On the Road Histories: Alaska,http://www.amazon.com/Alaska-On-The-Road-Histories-Ryan-Madden/dp/1566565669,http://www.amazon.com/Alaska-On-The-Road-Histories-Ryan-Madden/dp/1566565669,"Madden, Ryan",2005,9 - 12+,,Social Studies,,,"WWII, Aleutian, teacher, life story",Suggested Reading for students of Alaska History and Geography
"Alaska Science Camps, Fairs & Experiments (Environment)",Alaska Science.pdf,http://www.ankn.uaf.edu/publications/Alaska_Science/CampsEnviron.html,"Dick, Alan",2004,-,,"Language Arts, Math, Science & TEK, Social Studies, Art","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Learning - liicirpet, Crafts - piciipet uswituu'uq, Respect - ling'aklluki","Alaska Native Knowledge Network, UAF",,
"Alaska Science Camps, Fairs & Experiments (Fairs)",Alaska Science.pdf,http://www.ankn.uaf.edu/publications/Alaska_Science/Fairs.html,"Dick, Alan",2004,-,,"Language Arts, Math, Science & TEK, Social Studies, Art","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Learning - liicirpet, Crafts - piciipet uswituu'uq, Respect - ling'aklluki","Alaska Native Knowledge Network, UAF",,
"Alaska Science Camps, Fairs & Experiments (Experiments)",Alaska Science.pdf,http://www.ankn.uaf.edu/publications/Alaska_Science/Experiments.html,"Dick, Alan",2004,-,,"Language Arts, Math, Science & TEK, Social Studies, Art","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Learning - liicirpet, Crafts - piciipet uswituu'uq, Respect - ling'aklluki","Alaska Native Knowledge Network, UAF",,
For the Rights of All: Ending Jim Crow in Alaska,http://catalog.consortiumlibrary.org/web2/tramp2.exe/goto/A3b2agd6.002?screen=record.html&server=aml&item=2&item_source=aml,http://www.alaskacivilrights.org,"Silverman, Jeffrey Lloyd",2009,5 - 12+,,Social Studies,"People - suupet, Elders - cuqllipet, Family - ilaapet , Respect - ling'aklluki","Blueberry Productions, Inc.",,UAA Kodiak College Library DVD DOC 821
Village Science: Teacher's Edition,Village Science Teacher.pdf,http://www.ankn.uaf.edu/publications/vs/concepts.html,"Dick, Alan",1997,PreK - 12+,,"Language Arts, Math, Science & TEK, Social Studies, Art","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Learning - liicirpet, Crafts - piciipet uswituu'uq, Respect - ling'aklluki","Alaska Native Knowledge Network, UAF",,"Skill/Tools and Craftsmanship Cutting and Drying Fish Sharpening Nails, Pegs and Lashings Falling Trees and Small Scale Logging Guns Chainsaw Clutch and Chain Ice Pick Shelters Wood Stoves Wall Tents Steambaths Insulation and Vapor Barriers Gas Lamps and Gas Stoves Travel Piloting a Boat Boat Design Magnetos and Spark Plugs Carburetors Compression Outboard Motor Lower Unit Outboard Motor Cooling System Dogsleds Snowmachine Tracks Snowmachine Clutch Snowshoes Wintertrails"
Tales from Kodiak Island,Golder 1903 Tales I.pdf,http://www.jstor.org/stable/533671?origin=JSTOR-pdf,"Golder, Frank A.",1903,PreK - 12+,,"Language Arts, Social Studies","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Journal of American Folklore,"story, myth",Stories collected at Unga Island from Kodiak Alutiiq informants while Golder was a school teacher.
Tales from Kodiak Island II,Golder 1903 Tales II.pdf,http://www.jstor.org/stable/532759,"Golder, Frank A.",1903,PreK - 12+,,"Language Arts, Social Studies","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Journal of American Folklore,"story, myth",Stories collected at Unga Island from Kodiak Alutiiq informants while Golder was a school teacher.
Eskimo and Aleut Stories from Alaska,Golder 1909 Eskimo & Aleut Stories.pdf,http://www.jstor.org/stable/534305?origin=JSTOR-pdf,"Golder, Frank A.",1909,PreK - 12+,,"Language Arts, Social Studies","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Journal of American Folklore,"story, myth",Stories collected at Unga Island from Kodiak Alutiiq informants while Golder was a school teacher.
Aleutian Stories,Golder 1905 Aleutian Stories.pdf,http://www.jstor.org/stable/533140?origin=JSTOR-pdf,"Golder, Frank A.",1905,PreK - 12+,,"Language Arts, Social Studies","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Journal of American Folklore,"story, myth",Stories collected at Unga Island from Kodiak Alutiiq informants while Golder was a school teacher.
Kadiak Island Story: The White-Faced Bear,Golder 1907 White Faced Bear.pdf,http://www.jstor.org/stable/534479?origin=JSTOR-pdf,"Golder, Frank A.",1907,PreK - 12+,,"Language Arts, Social Studies","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Journal of American Folklore,"story, myth",Stories collected at Unga Island from Kodiak Alutiiq informants while Golder was a school teacher.
"Mythology of Kodiak Island, Alaska",Mythology of Kodiak in JAF.pdf,http://links.jstor.org/sici?sici=0021-8715%28193804%2F06%2951%3A200%3C123%3ATMOKIA%3E2.0.CO%3B2-7,"Lantis, Margaret",1938,PreK - 12+,,"Language Arts, Social Studies","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Journal of American Folklore,"story, myth",
